name,price,currency,source
FC-A0524500,118.69,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0549500,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0549600,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0480100,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0572800,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0572900,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0573000,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0573600,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0573700,86.01,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0538401,120.54,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0538601,120.54,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0519600,75.94,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0519700,75.94,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0532100,75.94,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0480200,75.94,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0449500,92.81,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0436700,133.48,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0485700,133.48,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0435400,144.45,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0435500,144.45,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0435700,144.45,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0434400,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0452700,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0434500,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0438800,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0434700,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0458300,188.89,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0458400,188.89,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0461600,188.89,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0446600,148.67,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0464600,162.79,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0516400,162.79,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0446800,148.67,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0484000,166.67,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0516600,176.74,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0503000,176.74,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0473700,160.09,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0488900,126.45,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0530400,126.45,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0382501,156.71,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0489000,156.71,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0464400,156.71,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0548100,146.14,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0548200,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
FC-A0552400,159.41,TL,Franchi Fiyat Listesi - 15.01.2026.pdf (PDF)
