name,price_raw,source
YENİ-TÜR SES FİŞEĞİ,14000.0,05012026_260206_141623.PDF
BILDIRCIN ÖZEL,15500.0,05012026_260206_141623.PDF
24 GR TRAP/SKEET,16100.0,05012026_260206_141623.PDF
28 GR,16400.0,05012026_260206_141623.PDF
30 GR,16600.0,05012026_260206_141623.PDF
32 GR,17000.0,05012026_260206_141623.PDF
34 GR,17300.0,05012026_260206_141623.PDF
36 GR ECO,18000.0,05012026_260206_141623.PDF
36 GR,19600.0,05012026_260206_141623.PDF
36 ÇAP,17600.0,05012026_260206_141623.PDF
36 ÇAP KURŞUN,20670.0,05012026_260206_141623.PDF
ŞAVRETİN 12 ÇAP,20000.0,05012026_260206_141623.PDF
KURŞUN 12 ÇAP,20700.0,05012026_260206_141623.PDF
16 ÇAP,17700.0,05012026_260206_141623.PDF
20 ÇAP,17700.0,05012026_260206_141623.PDF
34 GR 03-05-07,19100.0,05012026_260206_141623.PDF
38 GR,18870.0,05012026_260206_141623.PDF
40 GR,19290.0,05012026_260206_141623.PDF
DOUBLE ACTION,23000.0,05012026_260206_141623.PDF
GUALANDI EXP,23000.0,05012026_260206_141623.PDF
STEEL,13780.0,05012026_260206_141623.PDF
ATG = Automatic Trust Gazlı (SÜPER LUX),50400.0,2025
ATG = Automatic Trust Gazlı (LUX BEYAZ / SİYAH),19630.0,2025
ATG = Automatic Trust Gazlı (STANDART) Ağaç,17680.0,2025
ATG = Automatic Trust Gazlı (PLASTİK),14250.0,2025
ATG = Automatic Trust Gazlı (KAMUFLAJ),19200.0,2025
KNT =Automatic Trust Kinetik (STANDART) Ağaç,17060.0,2025
KNT =Automatic Trust Kinetik (PLASTİK),13400.0,2025
KNT =Automatic Trust Kinetik (KAMUFLAJ),20850.0,2025
KNT =Automatic Trust Kinetik (CERAKOD-KAMUFLAJ),21830.0,2025
PRO LIGHT = TRP STD (TRAP - AYARLI KUNDAK),19500.0,2025
PRO LIGHT = TRP YB (TRAP - YÜKSEK BANT - AYARLI KUN.),29000.0,2025
PRO LIGHT = T-LUX-1 (LUX - SGR GRAVÜR),59500.0,2025
PRO LIGHT = S-LUX-1 (LUX - SGR GRAVÜR),25600.0,2025
PRO LIGHT = T-BF / TMNV (KAPAKLI - BEYAZ FULL / MENEVİŞ),30480.0,2025
PRO LIGHT = T-SK / TBK (KAPAKLI - SİYAH / BEYAZ KUŞLU),28830.0,2025
PRO LIGHT = S-SK / BK (STD- SİYAH / BEYAZ KUŞLU),19000.0,2025
PRO LIGHT = SLUG (SLUG I / II - YÜKSEK GEZ / PİKATİNLİ),21460.0,2025
PRO LIGHT = AST-1 (ASİT LAZER GRAVÜR),22680.0,2025
PRO LIGHT = WOODCOCK (ÇULLUK),26700.0,2025
PRO LIGHT = S-MNV (MENEVİŞ),28830.0,2025
PRO LIGHT = STD (SİYAH - BEYAZ - MARINE),16710.0,2025
BELLATRIX = Çifte Kırma (GOLD) LUX,23840.0,2025
BELLATRIX = Çifte Kırma (GOLD) BEYAZ - SİYAH,19630.0,2025
BELLATRIX = Çifte Kırma (BEYAZ - SİYAH),16710.0,2025
GAZİ REİS (GRT12= EL \\ ELOKSAL),14200.0,2025
GAZİ REİS (GRT12= BR \\ BRONZ),16030.0,2025
GAZİ REİS (GRT12= ET \\ ETİKETLİ),17680.0,2025
GAZİ REİS (GRT12= ES \\ ESKİTME),17680.0,2025
MAESTRO SRNY-03 HAYDAR USTA MODELİ,15000.0,2026
MAESTRO SRNY-03 HAYDAR USTA MODELİ COMBO,17500.0,2026
MAESTRO SRNY-03 SİYAH,13500.0,2026
MAESTRO SRNY-03 RENKLİ KASA,13900.0,2026
MAESTRO SRNY-03 FULL RENK,14800.0,2026
MAESTRO SRNY-03 SİYAH COMBO SET,16500.0,2026
MAESTRO SRNY-04 SİYAH,13500.0,2026
MAESTRO SRNY-04 ALTIN İŞLEME,16500.0,2026
MAESTRO SRNY-03 SİYAH COMBO SET (CERECOT),16900.0,2026
MAESTRO SRNY-03 (11+1) SİYAH,14500.0,2026
MAESTRO SRNY-03 TACTİCAL (23),13000.0,2026
